State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded
Andhra Pradesh,Adoni,1,261000,219518,1,130500.0,0,0
Andhra Pradesh,Anantapur,2,498089,219518,1,249044.5,0,16
Andhra Pradesh,Chirala,1,229000,219518,1,114500.0,0,63
Andhra Pradesh,Chittoor,1,248000,219518,1,124000.0,0,65
Andhra Pradesh,Eluru,1,355000,219518,1,177500.0,0,85
Andhra Pradesh,Guntakal,1,178000,219518,1,89000.0,0,104
Andhra Pradesh,Guntur,2,940205,219518,1,470102.5,0,105
Andhra Pradesh,Hindupuram,1,214000,219518,1,107000.0,0,117
Andhra Pradesh,Kadapa,1,214000,219518,1,107000.0,0,140
Andhra Pradesh,Kakinada,2,552000,219518,1,276000.0,0,142
Andhra Pradesh,Kurnool,1,745946,219518,1,372973.0,0,168
Andhra Pradesh,Nellore,1,837660,219518,1,418830.0,0,205
Andhra Pradesh,Ongole,2,294000,219518,1,147000.0,0,210
Andhra Pradesh,Payakaraopeta,1,40000,219518,1,20000.0,0,221
Andhra Pradesh,Pithapuram,1,81000,219518,1,40500.0,0,223
Andhra Pradesh,Rajahmundry,1,581376,219518,1,290688.0,0,232
Andhra Pradesh,Srikakulam,1,207000,219518,1,103500.0,0,269
Andhra Pradesh,Tadepalligudem,1,207000,219518,1,103500.0,0,272
Andhra Pradesh,Tirupati,3,775455,219518,1,387727.5,0,280
Andhra Pradesh,Vijayawada,4,2290780,219518,1,1145390.0,0,295
Andhra Pradesh,Visakhapatnam,6,2385110,219518,1,1192555.0,0,296
Andhra Pradesh,Vizianagaram,2,338000,219518,1,169000.0,0,297
Andhra Pradesh,West Godavari,1,207000,219518,1,103500.0,0,301
Arunachal Pradesh,Itanagar,1,122930,215897,1,61465.0,1,126
Arunachal Pradesh,Naharlagun,1,52000,215897,1,26000.0,1,197
Assam,Barpeta Road,1,35571,118504,1,17785.5,2,34
Assam,Dibrugarh,1,139565,118504,1,69782.5,2,81
Assam,Diphu,1,61797,118504,1,30898.5,2,83
Assam,Guwahati,11,957352,118504,1,478676.0,2,108
Assam,Nagaon,1,147137,118504,1,73568.5,2,195
Assam,Nalbari,1,27839,118504,1,13919.5,2,198
Assam,Silchar,2,172830,118504,1,86415.0,2,262
Assam,Tezpur,2,58559,118504,1,29279.5,2,273
Bihar,Arrah,1,261430,76490,1,130715.0,3,18
Bihar,Bettiah,1,261430,76490,1,130715.0,3,41
Bihar,Bhagalpur,1,400146,76490,1,200073.0,3,42
Bihar,Gaya,1,474093,76490,1,237046.5,3,95
Bihar,Hajipur,1,474093,76490,1,237046.5,3,111
Bihar,Muzaffarpur,2,354462,76490,1,177231.0,3,192
Bihar,Patna,9,1684297,76490,1,842148.5,3,220
Bihar,Purnia,1,282248,76490,1,141124.0,3,229
Bihar,Samastipur,1,67925,76490,1,33962.5,3,247
Bihar,Sassaram,1,147408,76490,1,73704.0,3,253
Bihar,Siwan,1,135066,76490,1,67533.0,3,265
Chhattisgarh,Ambikapur,1,114575,140000,1,57287.5,4,13
Chhattisgarh,Bhilai,1,1003406,140000,1,501703.0,4,46
Chhattisgarh,Bilaspur,3,1003406,140000,1,501703.0,4,54
Chhattisgarh,Dhamtari,1,101677,140000,1,50838.5,4,75
Chhattisgarh,Raipur,6,1010087,140000,1,505043.5,4,231
Chhattisgarh,Rajnandgaon,1,1010087,140000,1,505043.5,4,234
Delhi,Azadpur,1,69220,552727,1,34610.0,5,23
Delhi,Delhi,11,16787941,552727,1,8393970.5,5,73
Delhi,East Delhi,1,1709346,552727,1,854673.0,5,84
Delhi,Narela,1,1709346,552727,1,854673.0,5,201
Delhi,New Delhi,28,142004,552727,1,71002.0,5,206
Delhi,North West Delhi,2,3651261,552727,1,1825630.5,5,209
Goa,Bicholim,2,16986,709045,1,8493.0,6,52
Goa,Margao,2,87650,709045,1,43825.0,6,182
Goa,Mormugao,1,154561,709045,1,77280.5,6,190
Goa,Porvorim,1,59066,709045,1,29533.0,6,226
