State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Andhra Pradesh,Adoni,1,261000,219518,1,130500,0,0,0.015339067,0.015339067,0,0.512271253
Andhra Pradesh,Anantapur,2,498089,219518,1,249044.5,0,16,0.029464625,0.029464625,0.015625,0.5204467
Andhra Pradesh,Chirala,1,229000,219518,1,114500,0,63,0.013432534,0.013432534,0,0.510746027
Andhra Pradesh,Chittoor,1,248000,219518,1,124000,0,65,0.014564538,0.014564538,0,0.51165163
Andhra Pradesh,Eluru,1,355000,219518,1,177500,0,85,0.020939506,0.020939506,0,0.516751605
Andhra Pradesh,Guntakal,1,178000,219518,1,89000,0,104,0.010393998,0.010393998,0,0.508315198
Andhra Pradesh,Guntur,2,940205,219518,1,470102.5,0,105,0.055805517,0.055805517,0.015625,0.541519413
Andhra Pradesh,Hindupuram,1,214000,219518,1,107000,0,117,0.012538847,0.012538847,0,0.510031078
Andhra Pradesh,Kadapa,1,214000,219518,1,107000,0,140,0.012538847,0.012538847,0,0.510031078
Andhra Pradesh,Kakinada,2,552000,219518,1,276000,0,142,0.032676596,0.032676596,0.015625,0.523016277
Andhra Pradesh,Kurnool,1,745946,219518,1,372973,0,168,0.044231732,0.044231732,0,0.535385386
Andhra Pradesh,Nellore,1,837660,219518,1,418830,0,205,0.049695974,0.049695974,0,0.539756779
Andhra Pradesh,Ongole,2,294000,219518,1,147000,0,210,0.017305178,0.017305178,0.015625,0.510719143
Andhra Pradesh,Payakaraopeta,1,40000,219518,1,20000,0,221,0.002172077,0.002172077,0,0.501737661
Andhra Pradesh,Pithapuram,1,81000,219518,1,40500,0,223,0.004614821,0.004614821,0,0.503691857
Andhra Pradesh,Rajahmundry,1,581376,219518,1,290688,0,232,0.034426793,0.034426793,0,0.527541435
Andhra Pradesh,Srikakulam,1,207000,219518,1,103500,0,269,0.012121793,0.012121793,0,0.509697434
Andhra Pradesh,Tadepalligudem,1,207000,219518,1,103500,0,272,0.012121793,0.012121793,0,0.509697434
